,@type,id,name,shortName,country,countryCode,geometry,masl,validFrom,county,countyId,municipality,municipalityId,stationHolders,externalIds,wigosId,wmoId,icaoCodes,shipCodes
13,SensorSystem,SN27600,SANDEFJORD,Sandefjord,Norge,NO,"{'@type': 'Point', 'coordinates': [10.2147, 59.132], 'nearest': False}",6.0,1936-01-01T00:00:00.000Z,VESTFOLD OG TELEMARK,38.0,SANDEFJORD,3804.0,['SANDEFJORD KOMMUNE'],,0-578-0-27600,,,
14,SensorSystem,SN18700,OSLO - BLINDERN,Oslo (Blindern),Norge,NO,"{'@type': 'Point', 'coordinates': [10.72, 59.9423], 'nearest': False}",94.0,1931-01-01T00:00:00.000Z,OSLO,3.0,OSLO,301.0,['MET.NO'],"['0-20000-0-01492', '0-20001-0-01492', '157.249.0.180:6785']",0-20000-0-01492,1492.0,,
15,SensorSystem,SN87110,ANDØYA,Andøya LH,Norge,NO,"{'@type': 'Point', 'coordinates': [16.1312, 69.3073], 'nearest': False}",10.0,1958-06-01T00:00:00.000Z,NORDLAND,18.0,ANDØY,1871.0,"['MET.NO', 'AVINOR']","['0-20000-0-01010', '10.249.0.55', '10.249.1.89', 'ENAN']",0-20000-0-01010,1010.0,['ENAN'],
16,SensorSystem,SN40905,RV9 HOVDEN,Hovden,Norge,NO,"{'@type': 'Point', 'coordinates': [7.4553, 59.6407], 'nearest': False}",915.0,2013-07-24T00:00:00.000Z,AGDER,42.0,BYKLE,4222.0,['STATENS VEGVESEN'],"['270', '929005']",0-578-0-40905,,,
17,SensorSystem,SN27295,FV307 GRAVDAL,FV307 Gravdal,Norge,NO,"{'@type': 'Point', 'coordinates': [10.1975, 59.3037], 'nearest': False}",20.0,2012-01-01T00:00:00.000Z,VESTFOLD OG TELEMARK,38.0,SANDEFJORD,3804.0,['STATENS VEGVESEN'],"['36', '729005']",0-578-0-27295,,,
18,SensorSystem,SN40250,VALLE,Valle,Norge,NO,"{'@type': 'Point', 'coordinates': [7.5273, 59.1972], 'nearest': False}",308.0,1872-01-01T00:00:00.000Z,AGDER,42.0,VALLE,4221.0,['MET.NO'],"['0-20000-0-01444', '10.249.0.169']",0-20000-0-01444,1444.0,,
19,SensorSystem,SN224720,FORSE,Forse,Sverige,SE,"{'@type': 'Point', 'coordinates': [17.0262, 63.1466], 'nearest': False}",120.0,1961-01-01T00:00:00.000Z,,,VÄSTERNORRLANDS LÄN,7522200.0,['SMHI'],['137080'],,,,
20,SensorSystem,SN43220,FV44 SÆLEBØ,FV44 Sælebø,Norge,NO,"{'@type': 'Point', 'coordinates': [6.1937, 58.3798], 'nearest': False}",205.0,2013-06-10T00:00:00.000Z,ROGALAND,11.0,SOKNDAL,1111.0,['STATENS VEGVESEN'],"['1129013', '1131']",0-578-0-43220,,,
21,SensorSystem,SN19660,E16 SKUI,E16 Skui,Norge,NO,"{'@type': 'Point', 'coordinates': [10.3855, 59.9475], 'nearest': False}",250.0,2011-03-14T00:00:00.000Z,VIKEN,30.0,BÆRUM,3024.0,['STATENS VEGVESEN'],"['229006', '99']",0-578-0-19660,,,
22,SensorSystem,SN18260,OSLO - HØYBRÅTEN,Høybråten,Norge,NO,"{'@type': 'Point', 'coordinates': [10.9257, 59.9468], 'nearest': False}",181.0,2013-05-30T00:00:00.000Z,OSLO,3.0,OSLO,301.0,"['OSLO KOMMUNE, VAV ROSIM']",['510121052'],0-578-0-18260,,,
23,SensorSystem,SN49240,RV13 LÅTEFOSS ,RV13 Låtefoss,Norge,NO,"{'@type': 'Point', 'coordinates': [6.5832, 59.9487], 'nearest': False}",205.0,2011-01-01T00:00:00.000Z,VESTLAND,46.0,ULLENSVANG,4618.0,['STATENS VEGVESEN'],"['1229002', '506']",0-578-0-49240,,,
24,SensorSystem,SN1240000,ZIELONA GORA,,Polen,PL,"{'@type': 'Point', 'coordinates': [15.5244444444444, 51.9302777777778], 'nearest': False}",192.0,2006-06-12T00:00:00.000Z,,,,,[],['0-20000-0-12400'],,12400.0,,
25,SensorSystem,SN623500,DE KOOIJ VK,,Nederland,NL,"{'@type': 'Point', 'coordinates': [4.78111111111111, 52.9269444444444], 'nearest': False}",1.0,2006-06-12T00:00:00.000Z,,,,,[],['0-20000-0-06235'],,6235.0,,
26,SensorSystem,SN52990,ORTNEVIK,Ortnevik,Norge,NO,"{'@type': 'Point', 'coordinates': [6.134, 61.1095], 'nearest': False}",4.0,1972-01-01T00:00:00.000Z,VESTLAND,46.0,HØYANGER,4638.0,['MET.NO'],,0-578-0-52990,,,
27,SensorSystem,SN5350,NORD-ODAL,Nord-Odal,Norge,NO,"{'@type': 'Point', 'coordinates': [11.558, 60.3883], 'nearest': False}",147.0,1895-07-01T00:00:00.000Z,INNLANDET,34.0,NORD-ODAL,3414.0,['MET.NO'],['10.249.1.17'],0-578-0-5350,,,
28,SensorSystem,SN76963,KRISTINFELTET,Kristin ,Norge,NO,"{'@type': 'Point', 'coordinates': [6.5513, 64.994], 'nearest': False}",,2014-01-01T00:00:00.000Z,NORSKEHAVET,24.0,NORSKEHAVET,2400.0,['EQUINOR ASA'],['LF7I'],0-578-0-76963,,,['LF7I']
29,SensorSystem,SN92170,OKSFJORD,Oksfjord ,Norge,NO,"{'@type': 'Point', 'coordinates': [21.437, 69.888], 'nearest': False}",45.0,2003-12-04T00:00:00.000Z,TROMS OG FINNMARK,54.0,NORDREISA,5428.0,['NORDREISA KOMMUNE'],['8'],0-578-0-92170,,,
30,SensorSystem,SN62240,E39 LØNNSET,E39 Lønnset,Norge,NO,"{'@type': 'Point', 'coordinates': [7.3702, 62.7603], 'nearest': False}",15.0,2014-09-11T00:00:00.000Z,MØRE OG ROMSDAL,15.0,MOLDE,1506.0,['STATENS VEGVESEN'],"['1529011', '295']",0-578-0-62240,,,
31,SensorSystem,SN80740,REIPÅ,Reipå,Norge,NO,"{'@type': 'Point', 'coordinates': [13.646, 66.9035], 'nearest': False}",9.0,1995-07-01T00:00:00.000Z,NORDLAND,18.0,MELØY,1837.0,['MET.NO'],"['0-20000-0-01114', '10.249.0.116']",0-20000-0-01114,1114.0,,
32,SensorSystem,SN226900,SKAGSUDDE,Skagsudde,Sverige,SE,"{'@type': 'Point', 'coordinates': [19.0205555555556, 63.1886111111111], 'nearest': False}",11.0,2006-06-12T00:00:00.000Z,,,VÄSTERNORRLANDS LÄN,7522200.0,['SMHI'],"['0-20000-0-02269', '139120']",,2269.0,,
33,SensorSystem,SN848200,MALAGA/AEROPUERTO,,Spania,ES,"{'@type': 'Point', 'coordinates': [-4.48222222222222, 36.6661111111111], 'nearest': False}",5.0,2006-06-12T00:00:00.000Z,,,,,[],"['0-20000-0-08482', 'LEMG']",,8482.0,['LEMG'],
34,SensorSystem,SN27564,SANDEFJORD - MOSSERØD,Mosserød,Norge,NO,"{'@type': 'Point', 'coordinates': [10.2025, 59.1505], 'nearest': False}",72.0,1998-12-10T00:00:00.000Z,VESTFOLD OG TELEMARK,38.0,SANDEFJORD,3804.0,['SANDEFJORD KOMMUNE'],,0-578-0-27564,,,
35,SensorSystem,SN241300,BRATTMON,Brattmon,Sverige,SE,"{'@type': 'Point', 'coordinates': [12.772131147541, 60.7569444444444], 'nearest': False}",205.0,1997-02-14T00:00:00.000Z,,,KROKOM,7522309.0,['SMHI'],"['0-20000-0-02413', '102390']",,2413.0,,
36,SensorSystem,SN1070,HVALER - BREKKE,HVALER ,Norge,NO,"{'@type': 'Point', 'coordinates': [11.0322, 59.0418], 'nearest': False}",20.0,2018-05-31T00:00:00.000Z,VIKEN,30.0,HVALER,3011.0,['HVALER KOMMUNE'],,0-578-0-1070,,,
37,SensorSystem,SN1298200,SZEGED,Szeged külterület,Ungarn,HU,"{'@type': 'Point', 'coordinates': [20.0905556, 46.2561111], 'nearest': False}",81.0,1870-12-31T00:00:00.000Z,,,,,[],"['0-20000-0-12982', '0-348-1-58116']",,12982.0,,
38,SensorSystem,SN350200,ABERPORTH,,Storbritannia,GB,"{'@type': 'Point', 'coordinates': [-4.57111111111111, 52.1394444444444], 'nearest': False}",133.0,2006-06-12T00:00:00.000Z,,,,,['MET OFFICE'],['0-20000-0-03502'],,3502.0,,
39,SensorSystem,SN71230,FV755 MELTINGEN,FV755 Meltingen,Norge,NO,"{'@type': 'Point', 'coordinates': [10.7303, 63.7905], 'nearest': False}",225.0,2014-09-11T00:00:00.000Z,TRØNDELAG,50.0,INDERØY,5053.0,['STATENS VEGVESEN'],"['1729012', '304']",0-578-0-71230,,,
40,SensorSystem,SN26990,SANDE - GALLEBERG,Galleberg,Norge,NO,"{'@type': 'Point', 'coordinates': [10.215, 59.6193], 'nearest': False}",60.0,1995-01-01T00:00:00.000Z,VESTFOLD OG TELEMARK,38.0,HOLMESTRAND,3802.0,"['NIBIO', 'MET.NO']","['0-20000-0-01485', '1485', '3']",0-20000-0-01485,1485.0,,
41,SensorSystem,SN255700,HORN,Horn,Sverige,SE,"{'@type': 'Point', 'coordinates': [15.8655555555556, 57.8863888888889], 'nearest': False}",90.0,2006-06-12T00:00:00.000Z,,,,,['SMHI'],['0-20000-0-02557'],,2557.0,,
42,SensorSystem,SN810,TUFSINGDAL - MIDTDAL,Tufsingdal,Norge,NO,"{'@type': 'Point', 'coordinates': [11.732, 62.2776], 'nearest': False}",687.0,1991-06-01T00:00:00.000Z,INNLANDET,34.0,OS,3430.0,['MET.NO'],,0-578-0-810,,,
43,SensorSystem,SN55520,FV55 INDRE HAFSLO,FV55 Indre Hafslo,Norge,NO,"{'@type': 'Point', 'coordinates': [7.2623, 61.345], 'nearest': False}",249.0,2014-12-01T00:00:00.000Z,VESTLAND,46.0,LUSTER,4644.0,['STATENS VEGVESEN'],"['1429030', '327']",0-578-0-55520,,,
44,SensorSystem,SN60670,FV650 LIABYGDA,FV650 Liabygda,Norge,NO,"{'@type': 'Point', 'coordinates': [7.0663, 62.3285], 'nearest': False}",318.0,2014-09-11T00:00:00.000Z,MØRE OG ROMSDAL,15.0,STRANDA,1525.0,['STATENS VEGVESEN'],"['1529015', '297']",0-578-0-60670,,,
45,SensorSystem,SN63595,RV70 GRÅURA,Gråura,Norge,NO,"{'@type': 'Point', 'coordinates': [9.2136, 62.5818], 'nearest': False}",212.0,2014-09-11T00:00:00.000Z,TRØNDELAG,50.0,OPPDAL,5021.0,['STATENS VEGVESEN'],"['1629018', '286']",0-578-0-63595,,,
46,SensorSystem,SN90250,E6 HEIA,E6 Heia,Norge,NO,"{'@type': 'Point', 'coordinates': [19.0503, 69.1448], 'nearest': False}",230.0,2004-12-24T00:00:00.000Z,TROMS OG FINNMARK,54.0,BALSFJORD,5422.0,['STATENS VEGVESEN'],"['105', '1900176']",0-578-0-90250,,,
47,SensorSystem,SN76954,GJØAFELTET,Gjøafeltet ,Norge,NO,"{'@type': 'Point', 'coordinates': [3.897, 61.3322], 'nearest': False}",0.0,2010-11-07T00:00:00.000Z,NORDSJØEN,26.0,NORDSJØEN,2600.0,['NEPTUNE ENERGY AS'],['LF8B'],0-578-0-76954,,,['LF8B']
48,SensorSystem,SN242610,FREDRIKSBERG,Fredriksberg,Sverige,SE,"{'@type': 'Point', 'coordinates': [14.2145, 60.1418], 'nearest': False}",305.0,1976-07-01T00:00:00.000Z,,,,6020200.0,['SMHI'],['104090'],,,,
49,SensorSystem,SN76927,OSEBERG A,Oseberg A,Norge,NO,"{'@type': 'Point', 'coordinates': [2.8257, 60.4913], 'nearest': False}",83.0,1988-01-01T00:00:00.000Z,NORDSJØEN,26.0,NORDSJØEN,2600.0,['EQUINOR ASA'],"['1301', 'ENOA', 'OBA']",0-578-0-76927,1301.0,['ENOA'],['OBA']
50,SensorSystem,SN34580,DRANGEDAL-REFSDALSKILEN,Drangedal,Norge,NO,"{'@type': 'Point', 'coordinates': [9.0687, 59.0767], 'nearest': False}",65.0,2017-04-26T00:00:00.000Z,VESTFOLD OG TELEMARK,38.0,DRANGEDAL,3815.0,['MET.NO'],,0-578-0-34580,,,
51,SensorSystem,SN76245,FV17 VÅG,FV17 Våg,Norge,NO,"{'@type': 'Point', 'coordinates': [12.1457, 65.2702], 'nearest': False}",18.0,2016-11-14T00:00:00.000Z,NORDLAND,18.0,SØMNA,1812.0,['STATENS VEGVESEN'],"['1674', '1800533']",0-578-0-76245,,,
52,SensorSystem,SN55260,FV55 HERVAVATN,FV55 Hervavatn ,Norge,NO,"{'@type': 'Point', 'coordinates': [7.8702, 61.5482], 'nearest': False}",1304.0,2018-11-28T00:00:00.000Z,VESTLAND,46.0,LUSTER,4644.0,['STATENS VEGVESEN'],"['1737', '3000024']",0-578-0-55260,,,
53,SensorSystem,SN26864,DRAMMEN SYKEHUS,Drammen sykehus ,Norge,NO,"{'@type': 'Point', 'coordinates': [10.195, 59.7497], 'nearest': False}",25.0,2012-10-14T00:00:00.000Z,VIKEN,30.0,DRAMMEN,3005.0,['DRAMMEN KOMMUNE'],['508121011'],0-578-0-26864,,,
54,SensorSystem,SN19830,FV289 HURUM,FV289 Hurum,Norge,NO,"{'@type': 'Point', 'coordinates': [10.4922, 59.548], 'nearest': False}",165.0,2016-11-14T00:00:00.000Z,VIKEN,30.0,ASKER,3025.0,['STATENS VEGVESEN'],"['1646', '629025']",0-578-0-19830,,,
55,SensorSystem,SN44485,E39 SØYLAND,E39 Søyland,Norge,NO,"{'@type': 'Point', 'coordinates': [5.9877, 58.6833], 'nearest': False}",230.0,2013-06-11T00:00:00.000Z,ROGALAND,11.0,GJESDAL,1122.0,['STATENS VEGVESEN'],"['1129001', '1140']",0-578-0-44485,,,
56,SensorSystem,SN76936,SNORRE B,Snorre B,Norge,NO,"{'@type': 'Point', 'coordinates': [2.2097, 61.525], 'nearest': False}",135.0,2001-01-01T00:00:00.000Z,NORDSJØEN,26.0,NORDSJØEN,2600.0,['EQUINOR ASA'],"['ENQR', 'LF4Q']",0-20000-0-01305,1305.0,['ENQR'],['LF4Q']
57,SensorSystem,SN76999,SCARABEO 8,Scarabeo 8 ,Norge,NO,,,2014-10-29T00:00:00.000Z,KONTINENTALSOKKELEN,23.0,KONTINENTALSOKKELEN,2300.0,['ENI NORGE'],['C6VR7'],0-578-0-76999,,,['C6VR7']
58,SensorSystem,SN231700,DRAVAGEN,Dravagen,Sverige,SE,"{'@type': 'Point', 'coordinates': [13.6116666666667, 62.0944444444444], 'nearest': False}",566.0,1995-10-01T00:00:00.000Z,,,HÄRJEDALEN,7522361.0,['SMHI'],"['0-20000-0-02317', '123060']",,2317.0,,
59,SensorSystem,SN26900,DRAMMEN - BERSKOG,Berskog,Norge,NO,"{'@type': 'Point', 'coordinates': [10.1207, 59.7538], 'nearest': False}",6.0,2004-09-20T00:00:00.000Z,VIKEN,30.0,DRAMMEN,3005.0,['MET.NO'],"['0-20000-0-01480', '10.249.0.215']",0-20000-0-01480,1480.0,,
60,SensorSystem,SN27214,VÅLE,Våle,Norge,NO,"{'@type': 'Point', 'coordinates': [10.2739, 59.41945], 'nearest': False}",110.0,2021-09-27T00:00:00.000Z,VESTFOLD OG TELEMARK,38.0,TØNSBERG,3803.0,"['TØNSBERG KOMMUNE, INGENIØRVESENET']",['10.249.1.238'],0-578-0-27214,,,
61,SensorSystem,SN20925,WISTING,Wisting,Norge,NO,"{'@type': 'Point', 'coordinates': [24.13, 73.5], 'nearest': False}",0.0,2018-04-09T00:00:00.000Z,BARENTSHAVET,25.0,BARENTSHAVET,2500.0,['EQUINOR ASA'],['6301003'],0-578-0-20925,,,
62,SensorSystem,SN19525,BÆRUMS VERK,Bærums Verk ,Norge,NO,"{'@type': 'Point', 'coordinates': [10.515, 59.9383], 'nearest': False}",203.0,2016-01-27T00:00:00.000Z,VIKEN,30.0,BÆRUM,3024.0,['BÆRUM KOMMUNE'],['501151121'],0-578-0-19525,,,
63,SensorSystem,SN50505,KV5738 NATTLANDSFJELLET,Nattlandsfjellet,Norge,NO,"{'@type': 'Point', 'coordinates': [5.3713, 60.3452], 'nearest': False}",230.0,2011-01-01T00:00:00.000Z,VESTLAND,46.0,BERGEN,4601.0,['STATENS VEGVESEN'],"['1229006', '195']",0-578-0-50505,,,
64,SensorSystem,SN79215,E6 YTTERVIKA,E6 Yttervika,Norge,NO,"{'@type': 'Point', 'coordinates': [13.8728, 66.2298], 'nearest': False}",8.0,2019-01-24T00:00:00.000Z,NORDLAND,18.0,HEMNES,1832.0,['STATENS VEGVESEN'],"['1794', '3000067']",0-578-0-79215,,,
65,SensorSystem,SN61630,BJORLI,Bjorli,Norge,NO,"{'@type': 'Point', 'coordinates': [8.2, 62.2583], 'nearest': False}",579.0,2010-02-22T00:00:00.000Z,INNLANDET,34.0,LESJA,3432.0,['BANE NOR'],"['0-20000-0-01230', '10.249.0.95']",0-20000-0-01230,1230.0,,
66,SensorSystem,SN31700,FV37 JØNJILJO,FV37 Jønjiljo,Norge,NO,"{'@type': 'Point', 'coordinates': [8.9267, 59.8703], 'nearest': False}",200.0,2013-12-19T00:00:00.000Z,VESTFOLD OG TELEMARK,38.0,NOTODDEN,3808.0,['STATENS VEGVESEN'],"['240', '829010']",0-578-0-31700,,,
67,SensorSystem,SN83710,DRAG - AJLUOKTA,Drag,Norge,NO,"{'@type': 'Point', 'coordinates': [16.0832, 68.0483], 'nearest': False}",6.0,2007-07-02T00:00:00.000Z,NORDLAND,18.0,HAMARØY,1875.0,['MET.NO'],"['0-20000-0-01143', '10.249.0.166']",0-20000-0-01143,1143.0,,
68,SensorSystem,SN91551,BIRTAVARRE - HOLMEN,Holmen,Norge,NO,"{'@type': 'Point', 'coordinates': [20.8693, 69.4802], 'nearest': False}",20.0,2018-04-04T00:00:00.000Z,TROMS OG FINNMARK,54.0,KÅFJORD,5426.0,['NVE SEKSJON FOR FJELLSKRED'],,0-578-0-91551,,,
69,SensorSystem,SN255000,JONKOPING/AXAMO,Axamo,Sverige,SE,"{'@type': 'Point', 'coordinates': [14.0691666666667, 57.7513888888889], 'nearest': False}",220.0,2006-06-12T00:00:00.000Z,,,,,['SMHI'],['0-20000-0-02550'],,2550.0,,
70,SensorSystem,SN50514,FV555 KROSSLEITET,FV555 Krossleitet,Norge,NO,"{'@type': 'Point', 'coordinates': [5.077, 60.3183], 'nearest': False}",72.0,2014-12-01T00:00:00.000Z,VESTLAND,46.0,ØYGARDEN,4626.0,['STATENS VEGVESEN'],"['1229031', '330']",0-578-0-50514,,,
71,SensorSystem,SN78910,FV17 HØYLANDET,Fv17 Høylandet,Norge,NO,"{'@type': 'Point', 'coordinates': [12.3295, 64.6933], 'nearest': False}",67.0,2014-09-11T00:00:00.000Z,TRØNDELAG,50.0,HØYLANDET,5046.0,['STATENS VEGVESEN'],"['1729010', '305']",0-578-0-78910,,,
72,SensorSystem,SN82310,BODØ - SKIVIKA,Skivika,Norge,NO,"{'@type': 'Point', 'coordinates': [14.4309, 67.3084], 'nearest': False}",5.0,1996-01-01T00:00:00.000Z,NORDLAND,18.0,BODØ,1804.0,['NVE'],['165.11'],0-578-0-82310,,,
73,SensorSystem,SN46432,RØLDALSFJELLET - ELVERSHEI,Elvershei,Norge,NO,"{'@type': 'Point', 'coordinates': [6.7108, 59.8357], 'nearest': False}",1370.0,2014-03-05T00:00:00.000Z,VESTLAND,46.0,ULLENSVANG,4618.0,['MET.NO'],,0-578-0-46432,,,
74,SensorSystem,SN8140,EVENSTAD,Evenstad,Norge,NO,"{'@type': 'Point', 'coordinates': [11.0803, 61.4255], 'nearest': False}",257.0,2001-10-27T00:00:00.000Z,INNLANDET,34.0,STOR-ELVDAL,3423.0,['MET.NO'],"['0-20000-0-01383', '10.249.1.114']",0-20000-0-01383,1383.0,,
75,SensorSystem,SN222190,OLDEN D,Olden D,Sverige,SE,"{'@type': 'Point', 'coordinates': [13.6504, 63.6964], 'nearest': False}",340.0,1983-06-01T00:00:00.000Z,,,KROKOM,7522309.0,['SMHI'],['133420'],,,,
76,SensorSystem,SN217390,KLÖVERTRÄSK D,Klöverträsk D,Sverige,SE,"{'@type': 'Point', 'coordinates': [21.4173, 65.636], 'nearest': False}",60.0,1988-11-01T00:00:00.000Z,,,NORRBOTTENS LÄN,7522500.0,['SMHI'],['161900'],,,,
77,SensorSystem,SN268000,HOBURG,Hoburg,Sverige,SE,"{'@type': 'Point', 'coordinates': [18.15, 56.9166666666667], 'nearest': False}",40.0,2006-06-12T00:00:00.000Z,,,GOTLANDS LÄN,7520900.0,['SMHI'],,,2680.0,,
78,SensorSystem,SN2683200,LIDA,,Hviterussland,BY,"{'@type': 'Point', 'coordinates': [25.3233333333333, 53.9022222222222], 'nearest': False}",,2006-06-12T00:00:00.000Z,,,,,[],['0-20000-0-26832'],,26832.0,,
79,SensorSystem,SN244090,KILAFORS D,Kilafors D,Sverige,SE,"{'@type': 'Point', 'coordinates': [16.5572, 61.2489], 'nearest': False}",50.0,2004-11-01T00:00:00.000Z,,,GÄVLEBORGS LÄN,7522100.0,['SMHI'],['116150'],,,,
80,SensorSystem,SN27160,HORTEN II,Horten,Norge,NO,"{'@type': 'Point', 'coordinates': [10.4647, 59.4198], 'nearest': False}",95.0,2015-04-22T00:00:00.000Z,VESTFOLD OG TELEMARK,38.0,HORTEN,3801.0,['HORTEN KOMMUNE'],,0-578-0-27160,,,
81,SensorSystem,SN291300,KAUHAVA AIRFIELD,,Finland,FI,"{'@type': 'Point', 'coordinates': [23.0527777777778, 63.1358333333333], 'nearest': False}",44.0,2006-06-12T00:00:00.000Z,,,,,['FMI (FINLANDS METEOROLOGISKE INSTITUTT)'],['0-20000-0-02913'],,2913.0,,
82,SensorSystem,SN15730,BRÅTÅ - SLETTOM,Bråtå,Norge,NO,"{'@type': 'Point', 'coordinates': [7.8955, 61.8957], 'nearest': False}",664.0,1998-11-01T00:00:00.000Z,INNLANDET,34.0,SKJÅK,3433.0,['MET.NO'],['0-20000-0-01360'],0-20000-0-01360,1360.0,,
83,SensorSystem,SN85450,SVOLVÆR LUFTHAVN,Svolvær LH,Norge,NO,"{'@type': 'Point', 'coordinates': [14.6693, 68.2453], 'nearest': False}",9.0,1972-06-01T00:00:00.000Z,NORDLAND,18.0,VÅGAN,1865.0,['AVINOR'],"['0-20000-0-01161', '10.249.0.18', 'ENSH']",0-20000-0-01161,1161.0,['ENSH'],
84,SensorSystem,SN99868,ENDALEN,Endalen,Svalbard og Jan Mayen,SJ,"{'@type': 'Point', 'coordinates': [15.7815, 78.1905], 'nearest': False}",50.0,2021-11-14T00:00:00.000Z,SVALBARD,21.0,SVALBARD,2100.0,['UNIS'],,0-744-0-99868,,,
85,SensorSystem,SN2210600,PADUN,,Russland,RU,"{'@type': 'Point', 'coordinates': [31.8038888888889, 68.6083333333333], 'nearest': False}",61.0,2006-06-12T00:00:00.000Z,,,,,['Росгидромет'],['0-20000-0-22106'],,22106.0,,
86,SensorSystem,SN629000,TWENTE AWS,,Nederland,NL,"{'@type': 'Point', 'coordinates': [6.89083333333333, 52.2730555555556], 'nearest': False}",35.0,2006-06-12T00:00:00.000Z,,,,,[],['0-20000-0-06290'],,6290.0,,
87,SensorSystem,SN1033800,HANNOVER,,Tyskland,DE,"{'@type': 'Point', 'coordinates': [9.67972222222222, 52.4658333333333], 'nearest': False}",55.0,2006-06-12T00:00:00.000Z,,,,,[],"['0-20000-0-10338', 'EDVV']",,10338.0,['EDVV'],
88,SensorSystem,SN85890,RØST LUFTHAVN,Røst,Norge,NO,"{'@type': 'Point', 'coordinates': [12.1038, 67.5267], 'nearest': False}",4.0,1986-07-01T00:00:00.000Z,NORDLAND,18.0,RØST,1856.0,"['MET.NO', 'AVINOR']","['0-20000-0-01107', '10.249.0.180', 'ENRS']",0-20000-0-01107,1107.0,['ENRS'],
